date,risk,growth,inflation,rates,liquidity,dollar,oil
2022-11-30,97.40536508979176,137.15617738893656,113.55815777098819,4.38,21406.5,24.664705276489258,70.2300033569336
2022-12-31,94.31844059269837,136.78633224025742,113.75491955044703,4.41,21291.0,24.1860408782959,70.11000061035156
2023-01-31,97.8912142125609,143.41435834993553,112.10235087820759,4.21,21279.4,23.92513656616211,69.31999969482422
2023-02-28,97.84075549464156,145.5504956969003,114.32483631791219,4.81,21242.9,24.716552734375,67.20999908447266
2023-03-31,97.47436896864087,140.52253057260714,113.38061704094177,4.06,20946.8,24.246919631958008,66.44000244140625
2023-04-30,98.20327108247069,133.98764916988895,112.52249420699765,4.04,20761.4,24.133859634399414,67.5
2023-05-31,98.59255086551113,138.28481842609176,112.79906551604593,4.4,20829.6,24.881793975830078,60.630001068115234
2023-06-30,105.62122698376247,149.6737582804485,113.84475062175002,4.87,20799.3,24.681764602661133,63.54999923706055
2023-07-31,110.13711167872002,150.78504106781864,114.63858473563526,4.88,20791.2,24.542613983154297,73.16999816894531
2023-08-31,107.72194881504721,153.86790272167545,114.5442026970221,4.85,20777.2,25.12530517578125,75.05999755859375
2023-09-30,106.45304247143515,151.99389766159692,115.98927479183216,5.03,20747.8,25.855844497680664,80.86000061035156
2023-10-31,105.78401969915345,149.53062336336015,117.41375700477626,5.07,20732.9,26.11675262451172,75.0199966430664
2023-11-30,110.16738709291337,156.29264273754734,115.41744096039247,4.73,20746.5,25.473180770874023,70.13999938964844
2023-12-31,111.27208248902507,162.91783437634544,113.930987126833,4.23,20777.9,25.064237594604492,66.6500015258789
2024-01-31,111.49725763396829,159.3764189596907,114.22959845092761,4.27,20843.9,25.7489013671875,70.91999816894531
2024-02-29,119.0014498445262,167.31537186308194,115.4369046484028,4.64,20927.4,25.989459991455078,73.36000061035156
2024-03-31,121.99005229045257,169.0972095295293,115.33761220188049,4.59,20973.9,26.24852180480957,78.7300033569336
2024-04-30,121.4604337121571,164.99487302315194,117.05090348429447,5.04,20959.7,26.81290626525879,78.37999725341797
2024-05-31,124.77166469157142,163.70717704921887,117.02434028687387,4.89,21020.6,26.52608871459961,74.81999969482422
2024-06-30,125.78348803143636,162.47029618378485,116.49770557657403,4.71,21068.4,26.951688766479492,79.58999633789062
2024-07-31,124.12338157138879,167.6750983068042,115.17334445875588,4.29,21095.3,26.609357833862305,77.73999786376953
2024-08-31,125.53350390949892,162.65956348444917,114.55194537935564,3.91,21186.8,26.1560001373291,74.33999633789062
2024-09-30,126.54198633858059,166.25218241721169,114.68202582551545,3.66,21269.5,26.072731018066406,69.91999816894531
2024-10-31,128.2397268611144,170.18099816622887,116.51062159155005,4.16,21331.9,27.016454696655273,73.08000183105469
2024-11-30,132.06269381698263,176.28007214155227,115.90760017982245,4.13,21452.2,27.617849349975586,71.61000061035156
2024-12-31,131.52246308819454,170.33393890652513,116.55270232822701,4.25,21485.9,28.448415756225586,75.55000305175781
2025-01-31,134.82158965789566,178.01539936373885,117.4257562256969,4.22,21548.1,28.535444259643555,78.0199966430664
2025-02-28,130.76017830659097,166.7594571538297,116.69181849389516,3.99,21613.5,28.41940689086914,75.22000122070312
2025-03-31,125.52606852552424,162.73232655453015,117.08464766643783,3.89,21693.6,27.59747886657715,77.33000183105469
